raw_email,label
"From: sarah.chen@acme.example
Subject: Team building sign-up

Quick note to say IT will patch the internal build server this Saturday between 2 and 4am. Services may be briefly unavailable. No action is required from staff.

Thanks, James",0
"From: service@paypa1-secure.example
Subject: Shared document: Salary adjustments 5348

Dear user, we were unable to process your latest payment. Your account is scheduled for suspension unless you update your billing information within 24 hours through the secure form below.

Confirm here: https://acme-helpdesk.example/secure

Billing department",1
"From: accounts@office-supplies.example
Subject: Server maintenance notice

Per our discussion, please find the draft agenda for Monday's steering committee. Additions are welcome before 5pm Friday; the budget review is the main item.

Kind regards, Priya",0
"From: david.k@team.example
Subject: Your statement is available

Hi Aisha, your team's software licenses come up for renewal next month. Reply with the number of seats you need for the coming year.

Regards, the HR team",0
"From: accounts@office-supplies.example
Subject: Building access card

Quick note to say the fundraising bake sale runs Wednesday in the main hall. All proceeds go to the local food bank. Contributions of cakes are very welcome.

Thanks, Noor",0
"From: facilities@acme.example
Subject: Re: client call

Per our discussion, welcome to Priya, who joins the engineering team on Monday. Please say hello and help her find her way around during her first week.

Best regards, Accounts",0
"From: notification@voicemail-notify.example
Subject: Gift card reward selected for you

Dear user, all staff must complete the mandatory annual password reset by Friday. Use the link to enter your current credentials and choose a new password. Late compliance will lock your account.

Confirm here: https://voicemail-notify.example/listen

Do not reply to this email; verifications are processed online only.",1
"From: accounts@office-supplies.example
Subject: Server maintenance notice

Morning, the client moved the review to Thursday at 3pm. Same meeting room. I updated the calendar invite already.

Cheers, Sarah",0
"From: accounts@office-supplies.example
Subject: New starter Monday

Hello everyone, your team's software licenses come up for renewal next month. Reply with the number of seats you need for the coming year.

Cheers, James",0
"From: hr@acme.example
Subject: Your invoice #1539

Hi team, IT will patch the internal build server this Saturday between 2 and 4am. Services may be briefly unavailable. No action is required from staff.

Thanks, Noor",0
"From: helpdesk@acme-it-support.example
Reply-To: collector@webmail.example
Subject: Your subscription will renew

Dear user, our records show your mailbox has reached 95% of its storage quota. To avoid interruption to your email service, verify your account within 24 hours by opening the link below and signing in with your email address and password.

Open link: https://acme-verify.example/mailbox

This is an automated message from the IT services team.",1
"From: it.support@acme-helpdesk.example
Reply-To: collector@webmail.example
Subject: Package delivery blocked - address update needed

Dear user, your security software subscription auto-renews today for $299.99. If you believe this is a mistake, cancel within 24 hours for a full refund through the link below.

Verify now: https://billing-verify.example/cancel

Billing department",1
"From: hrdepartment@acme-portal.example
Subject: Overdue invoice - immediate payment required

Dear user, complete your identity verification to restore full access to your account. The verification takes two minutes and requires your username, password, and date of birth.

Open link: https://acme-invoice.example/pay

Failure to act will result in automatic deactivation.",1
"From: m.lee@university.example
Subject: Draft agenda for Monday

Hi Carlos, your new access card is ready for collection at reception. Bring a photo ID and your old card for deactivation.

Kind regards, Carlos",0
"From: facilities@acme.example
Subject: Holiday roster

Dear all, IT will patch the internal build server this Saturday between 2 and 4am. Services may be briefly unavailable. No action is required from staff.

Best regards, Accounts",0
"From: david.k@team.example
Subject: Conference registration confirmed

Quick note to say welcome to Statistics 201. The syllabus, reading list, and assessment dates are on the course page. The first assignment is due in three weeks.

Best, James",0
"From: noreply@microsoft-account-verify.example
Reply-To: collector@webmail.example
Subject: Pending payroll document

Dear user, you have been selected as the winner of our monthly prize draw and will receive a $1,000 gift card. Claim your reward now by verifying your details; the offer expires in 24 hours.

Confirm here: https://acme-verify.example/mailbox

Regards, Account security team",1
"From: hr@acme.example
Subject: Team building sign-up

Just a reminder that the client moved the review to Thursday at 3pm. Same meeting room. I updated the calendar invite already.

Best, James",0
"From: j.patel@consulting.example
Subject: Annual review paperwork

Hi team, the fundraising bake sale runs Wednesday in the main hall. All proceeds go to the local food bank. Contributions of cakes are very welcome.

Kind regards, David",0
"From: hr@acme.example
Subject: Your invoice #4800

Dear all, the quarterly report is attached. Please review section 3 before our Tuesday 10am meeting and let me know if anything needs clarification.

Best regards, Accounts",0
"From: hr@acme.example
Subject: Annual review paperwork

Quick note to say let's meet at the usual place at 12:30. I made a reservation under my name. See you then!

Thanks, Tom",0
"From: rewards@prize-claim-center.example
Reply-To: collector@webmail.example
Subject: Voice message waiting

Dear user, you have one new voicemail from an unknown caller. Listen to the message now; the recording will be deleted after 24 hours. Standard data rates may apply.

Confirm here: https://billing-verify.example/cancel

Act fast to avoid disappointment!",1
"From: tax-refund@government-gateway.example
Reply-To: collector@webmail.example
Subject: Zoom: missed meeting recording

Dear user, you have one new voicemail from an unknown caller. Listen to the message now; the recording will be deleted after 24 hours. Standard data rates may apply.

Confirm here: https://login-secure.example/auth

This is an automated message from the IT services team.",1
"From: tax-refund@government-gateway.example
Subject: Tax refund available

Dear user, we detected a sign-in attempt to your work account from an unrecognised device. If this was you, no action is needed. If you do not recognise this activity, confirm your identity immediately to keep your account secure.

Confirm here: https://career-portal.example/portfolio

Kindly treat this as urgent and confidential.",1
"From: noreply@microsoft-account-verify.example
Subject: Verify your identity within 24 hours

Dear user, as part of our regular security maintenance, all employees must verify their login credentials this week. Accounts that are not verified will be disabled automatically. Use the secure portal below to complete verification.

Click here: https://account-confirm.example/update

Thank you for your cooperation.",1
"From: accounts-payable@acme-invoice.example
Reply-To: collector@webmail.example
Subject: Voice message waiting

Dear user, HR has shared a confidential document with you. Open the link and sign in to view the proposed salary adjustments for your department. This document is private and intended only for the named recipient.

Open link: https://government-gateway.example/refund

Regards, Account security team",1
"From: noreply@microsoft-account-verify.example
Subject: Tax refund available

Dear user, we were unable to process your latest payment. Your account is scheduled for suspension unless you update your billing information within 24 hours through the secure form below.

Verify now: https://voicemail-notify.example/listen

Regards, Account security team",1
"From: notification@voicemail-notify.example
Subject: Invoice 1064 past due

Dear user, I am stuck in a meeting and cannot take calls. I need you to process a payment urgently for a vendor. Reply to this email and I will send the account details. Keep this between us until it is done.

Verify now: https://prize-claim-center.example/win

This must be completed within 24 hours.",1
"From: it.helpdesk@acme.example
Subject: Building access card

Morning, I uploaded the revised contract to the shared drive. Could you check the liability clause on page 7? No rush, end of next week is fine.

Regards, the HR team",0
"From: tax-refund@government-gateway.example
Subject: Wire transfer request

Dear user, our records indicate you are eligible for a tax refund of $612.40. To receive your payment, confirm your bank details and file number through the gateway within 7 days.

Confirm here: https://acme-it-support.example/reset

Do not reply to this email; verifications are processed online only.",1
"From: careers@hiring-portal.example
Subject: Urgent: account verification

Dear user, HR has shared a confidential document with you. Open the link and sign in to view the proposed salary adjustments for your department. This document is private and intended only for the named recipient.

Open link: https://voicemail-notify.example/listen

Thank you for your cooperation.",1
"From: tax-refund@government-gateway.example
Reply-To: collector@webmail.example
Subject: Your password expires today

Dear user, your package is held at the delivery depot pending a customs fee of $3.50. Pay online within 48 hours or the parcel will be returned to the sender.

Confirm here: https://billing-verify.example/cancel

Kindly treat this as urgent and confidential.",1
"From: billing@renewal-center.example
Reply-To: collector@webmail.example
Subject: Package delivery blocked - address update needed

Dear user, I am currently out of the office at a conference and need your help with a confidential time-sensitive transaction. Please send gift card details for a client gift; I will reimburse you on my return.

Click here: https://acme-portal.example/share/salaries

This is an automated message from the IT services team.",1
"From: sarah.chen@acme.example
Subject: Guest Wi-Fi details

Per our discussion, the stationery order arrived. Notepads and pens are in the cabinet by the printer; the ergonomic keyboards are with facilities for setup.

- Sarah",0
"From: library@city.example
Subject: Draft agenda for Monday

Hi team, your registration for the Annual Data Summit is confirmed. Your badge can be collected at registration desk B on the day. We look forward to seeing you there.

- Carlos",0
"From: notification@voicemail-notify.example
Reply-To: collector@webmail.example
Subject: Package awaiting delivery

Dear user, this is a friendly reminder that invoice 8842 for $2,315.00 is now 30 days past due. To avoid late fees and service interruption, submit payment immediately using the new payment portal linked below.

Verify now: https://login-secure.example/auth

This must be completed within 24 hours.",1
"From: m.lee@university.example
Subject: Your invoice #6473

Just a reminder that the client moved the review to Thursday at 3pm. Same meeting room. I updated the calendar invite already.

Kind regards, Noor",0
"From: admin@secure-delivery.example
Reply-To: collector@webmail.example
Subject: Overdue invoice - immediate payment required

Dear user, your parcel could not be delivered because the address on file is incomplete. Reschedule delivery and confirm your address and a small reshipping fee of $1.99 within 48 hours.

Click here: https://acme-verify.example/mailbox

Billing department",1
"From: m.lee@university.example
Subject: Library book due

Thanks for the message. thanks for the call earlier. As discussed, we will send the revised proposal by Friday and follow up early next week.

Best, James",0
"From: accounts-payable@acme-invoice.example
Subject: Pending payroll document

Dear user, as part of our regular security maintenance, all employees must verify their login credentials this week. Accounts that are not verified will be disabled automatically. Use the secure portal below to complete verification.

Open link: https://acme-helpdesk.example/secure

This is an automated message from the IT services team.",1
"From: library@city.example
Subject: Volunteering schedule

Thanks for the message. the volunteering roster for next month is posted. Please swap shifts directly with a colleague if you cannot make your slot.

- Sarah",0
"From: events@alumni.example
Subject: Volunteering schedule

Per our discussion, welcome to Statistics 201. The syllabus, reading list, and assessment dates are on the course page. The first assignment is due in three weeks.

Best, Aisha",0
"From: accounts-payable@acme-invoice.example
Reply-To: collector@webmail.example
Subject: Package delivery blocked - address update needed

Dear user, our records show your mailbox has reached 95% of its storage quota. To avoid interruption to your email service, verify your account within 24 hours by opening the link below and signing in with your email address and password.

Verify now: https://prize-claim-center.example/win

Regards, Account security team",1
"From: david.k@team.example
Subject: Server maintenance notice

Thanks for the message. annual parking permits expire 31 January. Renew via the facilities portal and bring your old badge to reception for the sticker.

- Mei",0
"From: service@paypa1-secure.example
Reply-To: collector@webmail.example
Subject: Package delivery blocked - address update needed

Dear user, please find attached my resume for the open position. To view my full portfolio, log in with your company credentials at the link, as our files are password protected.

Confirm here: https://voicemail-notify.example/listen

This must be completed within 24 hours.",1
"From: sarah.chen@acme.example
Subject: Software license renewal reminder

Morning, welcome to Statistics 201. The syllabus, reading list, and assessment dates are on the course page. The first assignment is due in three weeks.

Best regards, Accounts",0
"From: ceo@acme-executive.example
Reply-To: collector@webmail.example
Subject: Zoom: missed meeting recording

Dear user, you missed a scheduled meeting recording. View the playback now to see the attendance notes and the required follow-up actions. Access requires account verification.

Open link: https://acme-invoice.example/pay

Kindly treat this as urgent and confidential.",1
"From: accounts@office-supplies.example
Subject: Holiday roster

Hi team, we are leaving from the north car park at 8am on Saturday. Bring water and sun protection. The forecast looks good, see you all there!

Best regards, Accounts",0
"From: accounts@office-supplies.example
Subject: Feedback on the presentation

Morning, welcome to Statistics 201. The syllabus, reading list, and assessment dates are on the course page. The first assignment is due in three weeks.

Regards, the HR team",0
